Issue Key,Issue Type,Epic Link,Summary,User Story / Description,Priority,Story Points,PI,Sprint,Labels,Acceptance Criteria,Dependencies,NFR Tags,Ready?
SOS-EPIC-01,Epic,,Unified Order Retrieve,"Customer, agent, or seller can view complete order and ancillary state",P0,,PI-1,,"epic,order-retrieve",,,,N/A
SOS-EPIC-02,Epic,,Passenger-Level Servicing Eligibility,"User understands whether one passenger, selected passengers, or all passengers can be changed",P0,,PI-1,,"epic,eligibility",,,,N/A
SOS-EPIC-03,Epic,,Split Order Workflow,Eligible passenger split can be quoted and confirmed safely,P1,,PI-1,,"epic,split",,,,N/A
SOS-EPIC-04,Epic,,Change Quote and Repricing,"User can view fare difference, penalties, taxes, and total payable/refundable amount",P0,,PI-1,,"epic,change-quote",,,,N/A
SOS-EPIC-05,Epic,,Ancillary Continuity,"Paid seats, baggage, meals, and other extras are transferred, reselected, repriced, or refunded",P0,,PI-1,,"epic,ancillary-continuity",,,,N/A
SOS-EPIC-06,Epic,,Refund Quote and Cancellation,Customer can see ticket and ancillary refund estimate before cancellation,P0,,PI-1,,"epic,refund,cancel",,,,N/A
SOS-EPIC-07,Epic,,Distribution API and Observability,Seller channels receive consistent servicing APIs with measurable reliability,P1,,PI-1,,"epic,seller-api,observability",,,,N/A
SOS-101,Story,SOS-EPIC-01,Retrieve complete order,"As a traveler, agent, or seller, I want to retrieve the complete order, so that I can understand itinerary, passengers, fare, payment, and purchased ancillaries before servicing.",P0,5,PI-1,Iteration 1,"domain:order-servicing,channel:direct,channel:seller-api","Valid order returns itinerary, passengers, fare, payment, and order items; ancillaries include continuity state; unauthorized access blocked; response includes correlation ID and audit reference.",Identity/RBAC,"latency,security,audit",Yes
SOS-102,Story,SOS-EPIC-01,Authenticate order access,"As a platform owner, I want secure access control for order retrieval, so that passenger and payment-adjacent information is protected.",P0,3,PI-1,Iteration 1,"security,rbac,pii",Direct users pass order/passenger validation; agents and sellers pass channel permission checks; failures do not expose PII; failed attempts logged.,Identity/RBAC,"security,pii,audit",Yes
SOS-103,Story,SOS-EPIC-02,Show servicing eligibility,"As a traveler or seller, I want to know which servicing actions are available, so that I do not start a flow that cannot be completed.",P0,5,PI-1,Iteration 2,"eligibility,servicing","Allowed, blocked, and assisted actions are listed; blocked actions show reason and next best action; eligibility shown at order and passenger level.","Fare rules, channel permissions","latency,structured-errors",Yes
SOS-104,Story,SOS-EPIC-02,Select passenger-level change,"As a traveler with a multi-passenger order, I want to select one or more passengers for a change, so that I do not accidentally change the full group itinerary.",P0,5,PI-1,Iteration 2,"passenger-level,ux","User selects one, multiple, or all passengers; system explains split requirement; assisted handoff created when online flow is unavailable; unchanged passengers are clearly shown.",Order service,"accessibility,analytics",Yes
